,lon,lat,C_0_1000_AB,C_0_1000_DE,Meff_500_2500,Meff_50_250,vs30
Kaitaia,173.262778,-35.1125,0.12,0.15,5.75,5.75,455
Paihia,174.091111,-35.282222,0.13,0.16,5.75,5.75,183
Russell,174.122222,-35.261667,0.13,0.16,5.75,5.75,455
Kaikohe,173.799722,-35.4075,0.12,0.15,5.75,5.75,690.974349
Whangarei,174.323611,-35.725,0.13,0.16,5.8,5.8,242
Dargaville,173.883333,-35.933333,0.13,0.16,5.8,5.8,316.4737752
Warkworth,174.666667,-36.4,0.13,0.17,5.9,5.9,455
Auckland,174.74,-36.840556,0.15,0.19,5.9,5.9,455
Manakau City,174.883333,-36.983333,0.17,0.21,5.9,5.9,455
Waiuku,174.75,-37.25,0.16,0.2,5.9,5.9,690.974349
Pukekohe,174.9,-37.2,0.18,0.22,5.9,5.9,690.974349
Thames,175.54302,-37.13821,0.26,0.3,5.8,5.8,240
Paeroa,175.666667,-37.375,0.28,0.33,5.8,5.8,500
Waihi,175.833333,-37.383333,0.29,0.34,5.9,5.9,690.974349
Huntly,175.16045,-37.5575,0.23,0.28,5.8,5.8,500
Ngaruawahia,175.15,-37.666667,0.23,0.27,5.8,5.8,468.5259513
Morrinsville,175.516667,-37.65,0.27,0.32,5.8,5.8,500.1197076
Te Aroha,175.716667,-37.533333,0.29,0.34,5.9,5.9,690.974349
Tauranga,176.166667,-37.683333,0.29,0.34,5.9,5.9,335.2795035
Mount Maunganui,176.185,-37.643,0.29,0.34,5.9,5.9,195.5828175
Hamilton,175.283333,-37.783333,0.24,0.28,5.9,5.9,500
Cambridge,175.466667,-37.883333,0.26,0.32,5.9,5.9,500
Te Awamutu,175.316667,-38.016667,0.24,0.29,5.9,5.9,500
Matamata,175.766667,-37.816667,0.27,0.34,5.9,5.9,500
Te Puke,176.316667,-37.766667,0.3,0.35,6,6,240
Putaruru,175.783333,-38.383333,0.29,0.34,6,6,500
Tokoroa,175.866667,-38.233333,0.31,0.35,6,6,690.974349
Otorohanga,175.2,-38.183333,0.25,0.27,5.9,5.9,500
Te Kuiti,175.166667,-38.333333,0.26,0.27,5.9,5.9,500
Mangakino,175.775,-38.369444,0.31,0.36,6,6,500
Rotorua,176.251389,-38.137778,0.35,0.39,6,6,326
Kawerau,176.7,-38.1,0.41,0.43,6.2,6.2,444.3067198
Whakatane,177,-37.983333,0.43,0.46,6.1,6.1,455
Opotiki,177.283333,-38.008333,0.4,0.44,6.1,6.1,240
Ruatoria,178.3175,-37.891528,0.34,0.41,6.1,6.1,240
Murupara,176.7,-38.466667,0.42,0.41,6.3,6.3,500
Taupo,176.0694,-38.6875,0.38,0.42,6.1,6.1,690.974349
Taumarunui,175.261667,-38.883333,0.32,0.36,6,6,500
Turangi,175.808333,-38.988889,0.36,0.4,6.25,6.25,500
Gisborne,178.017778,-38.6625,0.37,0.41,6.4,6.4,168.7639558
Wairoa,177.366667,-39.033333,0.35,0.41,6.5,6.5,451.8639677
Waitara,174.233056,-38.995833,0.27,0.32,6,6,240
New Plymouth,174.074167,-39.057778,0.28,0.33,6,6,335.2795035
Inglewood,174.207222,-39.156111,0.27,0.32,6.1,6.1,455
Stratford,174.283333,-39.333333,0.27,0.32,6.2,6.2,455
Opunake,173.85,-39.45,0.27,0.32,6.1,6.1,455
Hawera,174.278333,-39.593333,0.26,0.32,6.2,6.2,268.0889683
Patea,174.476667,-39.757222,0.27,0.34,6.2,6.2,335.2795035
Whanganui,175.05,-39.933333,0.31,0.37,6,6,477.8295744
Raetihi,175.283333,-39.425,0.35,0.37,6.2,6.2,335.2795035
Ohakune,175.399444,-39.418611,0.35,0.38,6.2,6.2,455
Waiouru,175.666667,-39.483333,0.35,0.39,6.25,6.25,162.89212
