Mmin,Mmax,RrupMin(km),RrupMax(km),Per(s),Nrecs4Avg,Larger.GMRotI50,SdevLargerGM50,Larger.GMRot_AR,SdevLargerGMAR,Larger.RotD50,SdevLargerD50,Larger.RotD100,SdevLargerD100
7,8,0,200,0,1059,1.095213615,0.090496559,1.106619633,0.083918266,1.10176181,0.087270103,0.931867312,0.067479881
7,8,0,200,-1,1058,1.138961124,0.109648905,1.14883142,0.111845295,1.124082537,0.093014122,0.927570438,0.071091819
7,8,0,200,0.01,1059,1.095222437,0.090450434,1.106539291,0.083843265,1.10185718,0.087215251,0.931886778,0.06744717
7,8,0,200,0.02,1059,1.095636646,0.090825998,1.106797749,0.08375068,1.102262313,0.087947291,0.932499742,0.0679417
7,8,0,200,0.022,1059,1.095201261,0.090651532,1.106269969,0.083784724,1.1020586,0.087854043,0.932424773,0.06743772
7,8,0,200,0.025,1059,1.094940754,0.09032407,1.105947433,0.083803866,1.101649775,0.087478075,0.932194845,0.066849775
7,8,0,200,0.029,1059,1.093912206,0.090556903,1.105604286,0.083924868,1.100510921,0.087365149,0.93239097,0.066932553
7,8,0,200,0.03,1059,1.094203614,0.090257836,1.105573125,0.083499532,1.100489757,0.087402308,0.932705149,0.066560122
7,8,0,200,0.032,1059,1.094530535,0.089788915,1.105118444,0.082998482,1.100959076,0.087588412,0.933205082,0.066716466
7,8,0,200,0.035,1059,1.094488801,0.089337534,1.105338612,0.082752323,1.101610883,0.086463779,0.933002109,0.066627
7,8,0,200,0.036,1059,1.093750249,0.090016697,1.104870853,0.08293718,1.10060867,0.086759134,0.932871961,0.066950349
7,8,0,200,0.04,1059,1.092904758,0.090073009,1.103537903,0.083387795,1.098444538,0.086915427,0.933123452,0.06610718
7,8,0,200,0.042,1059,1.09253218,0.089614036,1.102665444,0.083500127,1.097923133,0.087148402,0.93315659,0.066358883
7,8,0,200,0.044,1059,1.092256344,0.089063091,1.102375126,0.082845114,1.097290407,0.086597449,0.933179987,0.06656443
7,8,0,200,0.045,1059,1.092090273,0.088661964,1.102128911,0.08249023,1.096958772,0.086989466,0.933004589,0.06684728
7,8,0,200,0.046,1059,1.092321115,0.088351359,1.101894324,0.082312074,1.096650139,0.086802261,0.932768813,0.066835998
7,8,0,200,0.048,1059,1.093718435,0.088160624,1.10241115,0.0826834,1.098147358,0.08651279,0.933637283,0.06567538
7,8,0,200,0.05,1059,1.094692025,0.08833986,1.103813502,0.082260204,1.099909249,0.086700397,0.934381974,0.064925947
7,8,0,200,0.055,1059,1.095879081,0.087828624,1.104650758,0.081118502,1.101608548,0.087081431,0.93636575,0.063584303
7,8,0,200,0.06,1059,1.095091139,0.090147007,1.10464843,0.081475715,1.101575122,0.088086923,0.935553416,0.065133118
7,8,0,200,0.065,1059,1.097211538,0.088388184,1.104823048,0.081067336,1.102987828,0.087631548,0.93685793,0.063658647
7,8,0,200,0.067,1059,1.097733566,0.087208808,1.104818906,0.080525371,1.103393189,0.087141649,0.93664818,0.06382867
7,8,0,200,0.07,1059,1.098270586,0.087383473,1.106166146,0.079961927,1.104204831,0.085841139,0.935397983,0.06495214
